,MluCI/numCuts,HpyCH4IV/numCuts,AluI/numCuts,CviAII/numCuts,NcuII/numCuts,AciI/numCuts,Asp748I/numCuts,Hpy166III/numCuts,AccII/numCuts,BfaI/numCuts,Asi256I/numCuts,AspLEI/numCuts,AcaIV/numCuts,AfaI/numCuts,CviSIII/numCuts,CviRI/numCuts,MseI/numCuts,TspGWI/numCuts,BceAI/numCuts,BscHI/numCuts,Hpy30XIII/numCuts,TspDTI/numCuts,BtsIMutI/numCuts,CdiI/numCuts,BspNCI/numCuts,BccI/numCuts,Bme585I/numCuts,BpuJI/numCuts,Hin4II/numCuts,BseMII/numCuts,HpyUM032XIV/numCuts,HpyII/numCuts,SthSt3II/numCuts,CseI/numCuts,BspD6I/numCuts,BsmEI/numCuts,AlwXI/numCuts,Bth571I/numCuts,BhaI/numCuts,AspCNI/numCuts,Hpy99XIII/numCuts,Cla11845III/numCuts,TsuI/numCuts,HpyAXIV/numCuts,LmnI/numCuts,AclWI/numCuts,BseGI/numCuts,BpuNI/numCuts,BssIMI/numCuts,AsuHPI/numCuts,Alw26I/numCuts,SpnRII/numCuts,UbaF11I/numCuts,Sbo46I/numCuts,AclI/numCuts,Asp52I/numCuts,CstMI/numCuts,SspI/numCuts,Lde4408II/numCuts,PinP10III/numCuts,MluCI/RMS,HpyCH4IV/RMS,AluI/RMS,CviAII/RMS,NcuII/RMS,AciI/RMS,Asp748I/RMS,Hpy166III/RMS,AccII/RMS,BfaI/RMS,Asi256I/RMS,AspLEI/RMS,AcaIV/RMS,AfaI/RMS,CviSIII/RMS,CviRI/RMS,MseI/RMS,TspGWI/RMS,BceAI/RMS,BscHI/RMS,Hpy30XIII/RMS,TspDTI/RMS,BtsIMutI/RMS,CdiI/RMS,BspNCI/RMS,BccI/RMS,Bme585I/RMS,BpuJI/RMS,Hin4II/RMS,BseMII/RMS,HpyUM032XIV/RMS,HpyII/RMS,SthSt3II/RMS,CseI/RMS,BspD6I/RMS,BsmEI/RMS,AlwXI/RMS,Bth571I/RMS,BhaI/RMS,AspCNI/RMS,Hpy99XIII/RMS,Cla11845III/RMS,TsuI/RMS,HpyAXIV/RMS,LmnI/RMS,AclWI/RMS,BseGI/RMS,BpuNI/RMS,BssIMI/RMS,AsuHPI/RMS,Alw26I/RMS,SpnRII/RMS,UbaF11I/RMS,Sbo46I/RMS,AclI/RMS,Asp52I/RMS,CstMI/RMS,SspI/RMS,Lde4408II/RMS,PinP10III/RMS,MluCI/avgMW,HpyCH4IV/avgMW,AluI/avgMW,CviAII/avgMW,NcuII/avgMW,AciI/avgMW,Asp748I/avgMW,Hpy166III/avgMW,AccII/avgMW,BfaI/avgMW,Asi256I/avgMW,AspLEI/avgMW,AcaIV/avgMW,AfaI/avgMW,CviSIII/avgMW,CviRI/avgMW,MseI/avgMW,TspGWI/avgMW,BceAI/avgMW,BscHI/avgMW,Hpy30XIII/avgMW,TspDTI/avgMW,BtsIMutI/avgMW,CdiI/avgMW,BspNCI/avgMW,BccI/avgMW,Bme585I/avgMW,BpuJI/avgMW,Hin4II/avgMW,BseMII/avgMW,HpyUM032XIV/avgMW,HpyII/avgMW,SthSt3II/avgMW,CseI/avgMW,BspD6I/avgMW,BsmEI/avgMW,AlwXI/avgMW,Bth571I/avgMW,BhaI/avgMW,AspCNI/avgMW,Hpy99XIII/avgMW,Cla11845III/avgMW,TsuI/avgMW,HpyAXIV/avgMW,LmnI/avgMW,AclWI/avgMW,BseGI/avgMW,BpuNI/avgMW,BssIMI/avgMW,AsuHPI/avgMW,Alw26I/avgMW,SpnRII/avgMW,UbaF11I/avgMW,Sbo46I/avgMW,AclI/avgMW,Asp52I/avgMW,CstMI/avgMW,SspI/avgMW,Lde4408II/avgMW,PinP10III/avgMW
0,48,2,21,17,1,2,2,7,1,14,9,2,16,17,1,24,21,1,1,2,11,6,6,1,9,4,1,1,5,4,17,12,6,2,3,2,6,5,2,1,1,1,1,2,1,4,10,9,1,5,1,1,1,5,2,4,5,3,1,2,188.0033798455053,524.5607305164959,469.3737661974369,452.0897437054245,674.1120918360317,753.4509470896761,829.3054160671326,825.9725055956766,947.540740784028,902.2127195425411,893.0439022188789,963.9785942430102,923.8913836227687,882.4096582831845,956.1085287507899,897.401847606164,856.548926456997,916.0428668902904,971.3774148731296,1001.2586887126064,984.3340203591276,981.9540794554969,983.4683172499676,1029.2937388609575,1016.8806174190972,1023.7025260243416,1065.198407703128,1104.8209787840246,1105.6952689000636,1109.88379347545,1081.933849186076,1062.9682218013106,1063.088528382318,1077.3415978079317,1090.796099788192,1105.2408763020076,1106.8899170760344,1122.4945577854996,1135.356187756478,1164.7602929084171,1193.2596633607548,1220.9193374549475,1247.796779847371,1268.9797045524558,1294.4740753145434,1297.0342796551754,1283.2277188318442,1270.5096182471345,1294.2040621628994,1294.9812717768832,1317.771346219406,1340.0469735903184,1361.83446643126,1358.782140188184,1367.347682324266,1367.507990825785,1365.7445444748967,1369.9800215548614,1390.0792769574027,1403.634810399467,83319.0,113404.16,133454.08450704225,169033.9090909091,191378.95505617975,212101.50549450552,239323.2580645161,267775.09,286487.64356435643,292114.2260869565,273334.11290322576,272954.9682539682,271196.8873239437,246849.15723270443,258792.24375,243358.77717391305,218429.34146341466,227843.4854368932,237166.6714975845,250901.2870813397,248901.87272727274,247680.0796460177,242593.7068965517,250813.23175965663,260453.48760330575,269133.6260162602,276779.8178137652,284364.3467741936,298918.84584980237,307519.8910505837,292641.42335766426,282016.3286713287,282457.6095890411,288063.8707482993,290487.8013468013,294394.17056856194,293361.9508196721,291293.9193548387,295485.0673076923,301434.7731629393,307346.58280254784,313220.85714285716,319057.9525316456,329788.09748427675,335518.36363636365,338051.5479876161,328021.1711711712,321779.2456140351,327131.90962099127,322678.6063218391,327936.670487106,333164.6885714286,338362.9173789174,336127.0898876405,338913.89385474863,347232.37016574584,345375.15803814714,350989.18648648646,355859.14285714284,355355.0777479893
1,46,2,21,17,1,2,2,7,1,12,10,2,17,14,1,23,21,1,1,2,10,7,7,1,9,5,1,1,4,4,19,12,7,2,3,2,6,4,2,1,1,1,1,2,1,4,10,8,1,5,1,1,1,5,2,4,5,3,1,2,192.12094243402808,535.4030024196727,476.147599208359,457.3330169275919,681.8275054047298,761.8792997684938,838.3777047513703,834.3662265456337,957.0709049865204,918.5858991156211,903.700496169422,975.3478512276064,929.7126937162593,897.4299813515098,972.1500249281188,913.4539034389556,870.3540231584735,930.6014990316748,986.6319183406532,1016.7769492528928,1001.3513428048564,996.0402784845784,992.0328414877748,1038.4186695804988,1025.5055211161286,1030.0365876515386,1071.9279216140433,1111.9180776817193,1115.373675269356,1119.4558308137293,1085.428918570614,1066.1726353359584,1060.1913652895323,1074.5997024696896,1088.2065559784944,1102.7993382621248,1104.5112519166842,1122.176313029477,1135.1677762599236,1164.8582054094295,1193.6265082334407,1221.5395655714187,1248.6564037782714,1270.019533658052,1295.7296585712875,1298.2956856972146,1284.3379924256226,1273.4763096511074,1297.3843518179888,1298.122528437593,1321.1107787975513,1343.5762862577694,1365.5459528260258,1362.4145427745684,1371.0332498945402,1371.1537938017684,1369.3254326477208,1373.5667423275854,1393.8215643092608,1407.466834028031,83335.0,114672.04166666669,134914.81159420288,171030.16279069768,193865.94252873567,214999.35955056176,242755.7032967033,271542.4387755102,290594.96969696967,295145.7837837838,273511.0909090909,273119.30081300816,271200.8142857143,259590.46753246753,271836.61290322576,254861.11235955052,227966.22110552766,237615.105,247167.9800995025,261210.00985221675,258848.27230046949,257067.2409090909,250713.4537444934,259077.61842105267,268606.2025316456,279466.7768595041,287196.30864197534,294862.48360655736,306571.12096774194,315220.9761904762,297869.2103321033,286909.80918727914,287309.6827586207,292921.1095890411,295311.7525423729,299211.78114478115,298077.0330033003,296344.9022801303,300543.8932038835,306534.85806451616,312487.2958199357,318401.57692307694,324278.06709265173,335077.20952380955,340845.1392405064,343335.0875,333053.4181818181,327320.65088757395,332720.1268436578,328133.8168604651,333437.03188405803,338709.5924855492,343951.7636887608,341611.0284090909,344398.2033898305,352748.34636871505,350794.58126721764,356425.34699453553,361333.5694822889,360794.19512195117
2,43,2,23,16,3,2,6,8,1,12,10,2,12,19,1,21,26,2,1,1,14,7,4,1,11,3,1,1,3,5,15,12,8,2,3,1,9,7,3,1,2,2,1,1,3,4,9,5,1,4,1,1,1,4,1,2,4,2,2,4,227.26498210904217,570.8067585054995,488.8500160941944,480.90529708239313,611.6481690961076,701.230844037264,711.9032385462448,712.0910545028021,847.4322584680783,818.0639044256494,801.4095964423193,879.9730198278809,862.4893167040224,816.7428022526103,896.2493410039418,849.8134471915729,799.5388435334712,853.6741223540945,912.2678647978656,966.811780522634,942.1302646426108,938.628020221444,950.7648838733894,997.4465987207426,981.6010251526053,995.5758128857827,1037.4765095829919,1077.4369620143098,1091.52648630828,1099.321694382251,1075.2178983747933,1057.949753322697,1050.3913395569368,1064.7066584070826,1078.2641473352305,1110.481140874716,1099.1852975399438,1100.4570148394866,1109.075227301144,1138.4083418505993,1150.6933819481446,1175.8884645159144,1202.9814910836776,1229.3178035785222,1234.2106532338355,1237.5348932213178,1225.8350381261234,1225.9730162920462,1250.1526238252445,1257.1223124559426,1280.2996183222333,1302.9379571663108,1325.066001210138,1327.5781471695386,1348.9381234042876,1356.6554452965374,1358.4151471315836,1365.9869286304277,1373.838410619904,1376.6882450054447,83319.0,113792.46666666665,136573.13235294115,171042.25,221051.27586206896,241571.08988764047,254325.3157894737,284725.6796116505,302735.53846153844,305826.0,284200.92063492065,283656.28125,282646.1142857143,254065.7987421384,265963.83125,251400.8729281768,239450.56038647343,256491.61722488038,265545.2333333333,274513.03317535546,270553.2088888889,268509.44396551716,266355.6398305085,274336.21097046416,284785.35887096776,287966.76494023897,295386.5436507937,302747.6679841897,316761.703125,339103.8735632184,324354.42391304346,312269.48958333326,312031.1790540541,317363.0100671141,319461.5946843854,325548.6456953642,323126.75884244376,317358.5,323224.54205607483,328921.8291925466,332521.6882716049,330698.5245398773,336285.8409785933,341839.0884146341,342770.084592145,345124.79402985075,345123.54360465123,341480.34097421204,346669.6857142857,342946.4802259887,348058.6056338028,353142.01123595505,358196.9383753501,356212.75069252076,361189.37569060776,365202.7967032967,363525.29891304346,367169.09729729727,370050.3225806452,368898.8404255319
3,43,2,23,16,3,2,6,8,1,12,10,2,12,19,1,21,26,2,1,1,14,7,4,1,11,3,1,1,3,5,15,12,8,2,3,1,9,7,3,1,2,2,1,1,3,4,9,5,1,4,1,1,1,4,1,2,4,2,2,4,227.26498210904217,570.8067585054995,488.8500160941944,480.90529708239313,611.6481690961076,701.230844037264,711.9032385462448,712.0910545028021,847.4322584680783,818.0639044256494,801.4095964423193,879.9730198278809,862.4893167040224,816.7428022526103,896.2493410039418,849.8134471915729,799.5388435334712,853.6741223540945,912.2678647978656,966.811780522634,942.1302646426108,938.628020221444,950.7648838733894,997.4465987207426,981.6010251526053,995.5758128857827,1037.4765095829919,1077.4369620143098,1091.52648630828,1099.321694382251,1075.2178983747933,1057.949753322697,1050.3913395569368,1064.7066584070826,1078.2641473352305,1110.481140874716,1099.1852975399438,1100.4570148394866,1109.075227301144,1138.4083418505993,1150.6933819481446,1175.8884645159144,1202.9814910836776,1229.3178035785222,1234.2106532338355,1237.5348932213178,1225.8350381261234,1225.9730162920462,1250.1526238252445,1257.1223124559426,1280.2996183222333,1302.9379571663108,1325.066001210138,1327.5781471695386,1348.9381234042876,1356.6554452965374,1358.4151471315836,1365.9869286304277,1373.838410619904,1376.6882450054447,83319.0,113792.46666666665,136573.13235294115,171042.25,221051.27586206896,241571.08988764047,254325.3157894737,284725.6796116505,302735.53846153844,305826.0,284200.92063492065,283656.28125,282646.1142857143,254065.7987421384,265963.83125,251400.8729281768,239450.56038647343,256491.61722488038,265545.2333333333,274513.03317535546,270553.2088888889,268509.44396551716,266355.6398305085,274336.21097046416,284785.35887096776,287966.76494023897,295386.5436507937,302747.6679841897,316761.703125,339103.8735632184,324354.42391304346,312269.48958333326,312031.1790540541,317363.0100671141,319461.5946843854,325548.6456953642,323126.75884244376,317358.5,323224.54205607483,328921.8291925466,332521.6882716049,330698.5245398773,336285.8409785933,341839.0884146341,342770.084592145,345124.79402985075,345123.54360465123,341480.34097421204,346669.6857142857,342946.4802259887,348058.6056338028,353142.01123595505,358196.9383753501,356212.75069252076,361189.37569060776,365202.7967032967,363525.29891304346,367169.09729729727,370050.3225806452,368898.8404255319
4,46,2,16,16,2,2,5,9,1,14,10,2,16,16,1,24,25,2,1,4,7,7,3,1,11,5,1,2,2,6,15,11,7,1,2,2,7,8,3,1,4,1,1,2,1,5,13,6,1,5,1,1,1,4,1,2,4,3,3,3,162.8734504747941,509.3090499228669,481.22167124413664,476.3021362538698,599.9651514270051,696.3527089328333,722.9088167282031,717.482361299224,858.1554861351401,818.9395041786814,804.6719323421111,884.6912139272098,844.6892542054817,811.9584172465851,892.8851223825783,838.5532936991102,791.6865962403725,846.3949302721693,905.4923838127282,914.9153834527566,911.5651176964293,909.7498740496387,930.3829286586217,979.1238694486708,963.2720921197656,965.8984535553647,1009.6565024858941,1027.8889072159934,1047.5399621646975,1044.5249737796705,1022.1729252191603,1006.7278156169333,1001.9099910356152,1037.8085025931364,1057.8248244969643,1083.9756402023934,1081.4334450407162,1087.2005157920323,1096.214434184428,1126.4782664615088,1129.0077059081573,1157.8646273753693,1185.8468290059025,1208.0930259128472,1234.5444242248293,1235.4013922608312,1216.5299609021533,1215.9182752755207,1240.3221954683506,1241.8918065415078,1265.325088130195,1288.2044688252718,1310.560010796698,1312.8102979688415,1334.3879221282555,1342.247291590049,1344.1778488841776,1348.6327205928835,1353.1299272427611,1358.597372331413,83343.0,126162.58333333331,139913.9375,175439.95,196076.53658536586,218410.69047619047,231060.0337078652,269147.8469387755,288222.62626262626,267172.8672566372,248167.43089430896,248186.896,250878.9929078014,229746.2547770701,241947.55063291136,228567.8736263736,219834.79710144925,237061.03827751195,246206.22857142857,258408.67289719626,256903.0180995475,255242.72807017548,255993.1991341991,264189.56896551716,275314.8436213992,285776.2782258064,293293.4457831325,299092.35856573697,308574.60079051385,321151.5598455598,307278.5547445255,296941.31228070176,297097.58219178085,303447.25255972694,304969.48813559324,304301.9158249158,302864.0855263158,296665.1858974359,302839.6603174603,308709.0,316250.975,321987.1121495327,327687.6211180124,338164.7530864198,343762.8646153846,341337.2303030303,328553.97667638486,324467.40974212036,329704.79142857145,325303.2873239437,330450.0505617977,335567.9803921569,340657.31843575416,338872.68508287286,343882.8181818182,347979.8109589041,346493.55826558266,352066.8360215053,352972.2373333333,352249.0529100529
5,46,2,15,16,2,2,5,9,1,14,10,2,16,16,1,24,25,2,1,4,7,7,3,1,11,5,1,2,2,6,15,11,7,1,2,2,7,8,3,1,4,1,1,2,1,5,13,6,1,5,1,1,1,4,1,2,4,3,3,3,162.8734504747941,509.3090499228669,488.51175027703283,482.1221285477809,605.8395969924305,702.3711647071284,728.6736627724249,722.6977808698647,863.7864732840933,823.74686212279,809.0468030393524,889.2213792359711,848.6009115849789,815.3975198543442,896.4840274455357,841.5686353208521,794.2594615319417,849.0326367515154,908.2193946946527,917.6076621281256,914.1661948563741,912.2678861141844,932.901651464048,981.712400907332,965.7177971003557,968.2988045530084,1012.1160303398854,1030.3577184648057,1050.0204325298432,1046.943126847258,1024.425635555789,1008.8718336640007,1003.9959680098664,1039.9361495810592,1059.9654098450699,1086.1376944090543,1083.54217128993,1089.2626315016282,1098.2686388970203,1128.565655199217,1131.0722407490618,1159.960410154157,1187.972866992458,1210.2351919417322,1236.7149324214024,1237.5400616769216,1218.5637517007735,1217.9162780523247,1242.3444677319967,1243.8874467675878,1267.3436098202071,1290.2452286290386,1312.6223885847771,1314.8525695979731,1336.4507078359225,1344.3082538311967,1346.21873727376,1350.6624111105862,1355.14865396072,1360.6064512265712,83343.0,126163.25,139259.61904761905,175371.08860759492,196264.54320987652,218863.6385542169,231631.89772727274,270060.793814433,289321.2244897959,267946.1964285714,248721.59016393442,248732.5322580645,251383.32857142854,230063.39743589747,242340.59235668788,228834.87845303863,220027.00485436886,237334.52403846156,246522.3157894737,258776.41314553987,257252.7227272727,255574.82819383263,256324.4391304348,264554.9956709957,275710.35950413224,286206.4655870445,293752.3387096774,299570.904,309087.1031746032,321701.2635658915,307747.2380952381,297355.44366197183,297502.6735395189,303872.81164383556,305397.4387755102,304724.8277027027,303272.85148514854,297043.5048231511,303234.18152866245,309121.0031746032,316681.6551724138,322434.471875,328151.445482866,338658.3405572755,344272.30555555556,341831.556231003,328992.134502924,324886.2701149425,330137.5501432665,325717.5,330877.68450704217,336008.8792134832,341111.3277310925,339316.7202216067,344339.55524861877,348445.3818681319,346950.20380434784,352534.9407008086,353439.13636363635,352710.4456233422
6,46,1,18,18,2,2,4,9,1,16,10,2,14,19,1,26,31,2,1,2,12,7,5,1,9,5,1,1,4,6,17,11,7,2,3,1,8,6,4,1,1,1,1,2,2,4,10,8,1,4,2,1,1,5,1,2,4,3,2,4,184.84476448231288,715.0335507676575,636.0189764948358,595.4730426965717,712.3620444359323,790.3854581239418,822.2776128093677,808.9656482199971,932.9006346119644,880.4091997329192,864.6002171137079,936.4681132488084,900.6565631555931,856.3113040143263,930.8868619189183,869.2395143649036,810.4636131140115,860.7840208964328,915.6066576699336,945.5285553006261,929.069685767789,926.0716322362904,944.516586582426,989.128717609594,979.6193138153208,982.7402493676916,1023.1723106879359,1061.7791477734984,1071.2066940985203,1069.061299268757,1043.593211844957,1029.2883064346734,1024.3605298803977,1038.5022177299536,1051.9906251086343,1083.5307865029422,1077.9002779620985,1091.6682900905037,1097.2864494920211,1125.7414236742782,1153.331932270179,1180.1200207239979,1206.1605190189728,1226.8411766513514,1238.3854814164654,1241.5361986526375,1228.6711297568766,1221.6772817818617,1244.9010044694164,1255.6304467951225,1265.0965781909845,1287.0073773200133,1308.4370815047564,1306.1731935733094,1326.9133444517806,1334.5050203032804,1336.4416533265166,1340.7863728746554,1351.853995468423,1354.83487526728,83319.0,127487.5319148936,142350.67692307688,180368.6987951807,214307.1529411765,235455.7471264368,270872.4175824176,304618.24,322980.8316831683,316904.8205128205,294578.92913385824,293879.22480620147,291734.75524475524,262617.7530864198,274253.47239263804,255842.6560846561,224143.23181818178,240337.05855855852,248942.0044843049,261609.2133333333,259042.7215189873,257432.2131147541,253478.9558232932,261102.0,269750.861003861,275077.9090909091,282187.9547169812,289244.54135338345,306133.9259259259,317990.14492753625,303469.0034129693,293914.23684210534,294131.2540192926,299322.60702875396,301493.5284810127,307353.927444795,305743.32,301308.38972809666,299212.7432835821,304748.5386904762,310251.48071216623,315721.86094674555,321159.96755162237,331162.9237536657,338251.67638483964,340577.6858789625,331151.30812324927,325883.9479452055,330893.1174863388,327501.8189189189,333546.373655914,338440.9946380697,343309.4411764706,341143.617414248,345928.08157894737,349832.8350785341,348393.3341968912,353709.5706940874,354280.35549872124,353345.0101265823
7,46,1,18,17,2,2,3,9,1,16,11,2,14,19,1,26,27,2,1,1,11,7,5,1,11,6,1,1,4,6,16,11,7,2,3,1,9,6,4,1,1,1,1,2,2,4,11,7,1,4,2,1,1,5,1,2,3,3,2,4,178.96811715085386,713.5688250513095,634.8283959525538,599.0393936311294,716.5460225142223,794.9289422683099,836.4076676578557,821.7464105582122,946.2008190120056,891.6166167722245,867.0322992464052,939.2174601762897,902.976973955016,858.1820232871158,933.0383760120004,870.886159109019,819.5985148726145,870.4252337550903,925.8420912778007,977.6594475755808,962.0851991558659,958.1428392582918,975.8535234211914,1020.1918745536792,1003.6924270855968,1001.8937107759024,1042.109162106891,1080.5389947077197,1089.665717520676,1087.1210867943557,1065.2274046470598,1050.1822536523302,1044.798338736931,1058.7610224207365,1072.0148337866044,1103.4099768096519,1092.8459759283573,1106.324126734338,1111.7600006717528,1140.1457447524456,1167.67736272629,1194.415363213417,1220.4133053277055,1241.0143752290794,1252.479722102233,1255.4683177177365,1239.8258671244764,1234.7200418384127,1257.9193818646402,1268.5139341343067,1277.916961648747,1299.8108357265248,1321.226549307345,1318.7906753284742,1339.5194418545716,1347.0534206145715,1355.039972873121,1359.237108906745,1370.202375279943,1372.9945533722062,83319.0,127486.17021276595,142349.6923076923,178693.68292682926,213075.66666666663,234499.55813953487,261692.2808988764,296969.8673469388,315780.03030303033,310600.2,286397.21428571426,285819.8828125,284454.8943661972,256016.1552795031,267764.05555555556,250152.78191489363,222616.07441860464,239196.81105990786,248004.0550458716,256730.86757990863,254539.96086956523,253014.8776371308,249038.53719008266,256899.1851851852,267860.11417322827,274394.55,281615.9348659004,288782.19465648854,305933.46992481203,317968.8198529412,304065.77430555556,294329.2742474916,294540.3431372549,299813.5227272727,302014.6109324759,307967.0512820513,306115.34890965733,301619.34250764525,299494.61329305137,305096.063253012,310663.8708708709,316198.33832335327,321699.7641791045,331818.05637982197,338995.7020648968,341340.1603498542,330859.57909604517,326205.2271468144,331268.682320442,327836.2158469945,333945.0027173913,338891.42818428186,343811.11621621624,341615.50133333326,346449.43882978725,350392.9232804233,349294.719160105,354673.38541666674,355246.56994818646,354289.32307692314
8,47,2,19,17,2,3,4,8,1,15,10,1,14,17,1,24,22,3,1,1,12,8,5,1,12,5,1,1,3,4,15,10,8,2,3,1,7,6,3,1,4,1,1,1,1,4,13,7,1,4,1,1,1,4,1,2,4,3,2,4,147.78585715307165,568.3937985271143,514.1288033854827,498.1257578044276,632.4032341589602,696.1391942548399,724.3452435923726,723.6384646016134,858.259069901368,815.4628819660691,807.5030234076528,906.1458804128323,878.2361415244309,839.2974070614063,916.2621305747967,863.5397610526794,822.555917074928,852.7148688858708,911.1054610402907,965.469868011289,945.335725511615,939.07349332311,953.7672517255638,1000.1058305344028,982.0206474407756,985.1968032715447,1026.912031438185,1066.6914756761466,1080.826564041827,1085.377301385853,1060.81088041853,1047.7663158334283,1039.9350423251888,1054.4136429479572,1068.1581845797787,1100.5978228475494,1096.2004113917692,1110.0398470439322,1118.548548700222,1147.7903281958775,1149.9821442521468,1177.9183921059805,1205.0417297970005,1231.407360983771,1257.0644011094205,1260.0856587827193,1239.983296988953,1234.3652767165954,1258.158203548269,1269.0140055249535,1291.754780679298,1313.9786367893194,1335.712387953834,1338.067710469914,1359.0618168125422,1366.6048724427249,1370.6960604112621,1374.8316902336041,1385.8789274665176,1385.5824805930233,83311.0,150566.4693877551,159123.60294117648,151753.48235294118,185578.2068965517,217206.36666666667,226839.8404255319,259698.36274509804,278144.86407766986,285079.5847457627,265415.7109375,280099.99224806204,279306.1048951049,254250.64375,266085.65838509315,247300.44864864863,237626.9903381643,241795.0904761905,250884.63033175355,259888.41981132075,257263.8794642857,255388.05603448272,252984.4894514768,260995.8487394958,272945.216,278396.7019607843,285745.49609375,293037.10116731515,306951.2730769231,315202.79924242425,301896.51971326163,292814.4948096886,293103.3973063973,298545.71571906353,300824.51655629143,306959.37953795376,305490.2741935484,300849.4778481013,306909.36050156737,312699.29375,320101.66049382713,325761.9261538461,331387.46625766874,336978.5993883792,342535.64024390245,344914.7409638554,332070.7884057971,327273.1875,332464.164305949,328931.77030812326,334045.6145251397,339130.9693593315,344188.07222222217,342374.7087912088,347353.6493150685,351411.0572207085,349896.0808625337,355414.37967914436,355998.61170212773,355008.42631578946
9,47,2,20,17,2,3,4,8,1,15,10,1,14,17,1,24,22,3,1,1,12,8,5,1,12,5,1,1,3,4,16,11,8,2,3,1,7,6,3,1,4,1,1,1,1,4,12,7,1,4,1,1,1,4,1,2,4,3,2,4,147.93450247077791,568.4308871528602,510.3694740087812,495.2045384320714,628.786936381185,692.2924174139071,720.5124419101785,720.1075162442454,854.1148645955514,812.0219912574499,804.3602349674549,902.6479252305834,875.1757640928795,836.6815626432083,913.4249852635429,861.2108567505092,820.5720770620007,850.6878621812817,908.9504028854711,963.1973798180012,943.2292946162256,937.0528953881765,951.75829544122,998.0083891280043,980.0595924640892,983.2678873436528,1024.9095053532403,1064.6196522119856,1078.7515062610742,1083.3250109017529,1056.8706409023878,1041.8793921602537,1034.2411920501586,1048.6920756525358,1062.4312915103394,1094.74382504934,1090.4970523051686,1104.3841586630786,1112.9091515047874,1142.0429036634525,1144.295884086101,1172.1308964508332,1199.1566387994935,1225.4281094846615,1250.9942366215853,1254.0754434683936,1236.241659596614,1230.7129014366885,1254.4520424315006,1265.3202463824296,1288.0107433558153,1310.1858826484938,1331.8724046281407,1334.263562456219,1355.2129727961128,1362.7572211888805,1366.879156087269,1371.0346778130586,1382.0738443046778,1381.8180442192245,83311.0,150566.79591836734,159443.66666666663,152095.97674418605,185528.72727272726,216811.74725274727,226360.43157894735,258938.41747572809,277214.9326923077,284208.59663865546,264764.67441860464,279341.06923076924,278626.47916666674,253798.4037267081,265563.2037037037,246946.40322580645,237356.89903846156,241509.3127962085,250557.3632075472,259520.45539906106,256927.20444444445,255070.99141630897,252684.18487394962,260663.31380753138,272581.73705179285,278019.33984375,285341.03891050577,292605.98062015505,306472.07279693487,314699.8150943396,300636.1103202847,290796.0034246575,291135.84333333327,296537.2880794702,298813.5868852459,304894.90196078434,303486.0479233227,298926.59247648896,304948.1552795031,310690.40866873064,318049.73088685016,323664.50609756104,329245.1489361702,334791.96969696967,340305.2749244713,342689.89253731346,330979.2103746398,326230.2994350282,331394.9915492958,327894.18941504176,332982.5277777777,338042.675900277,343074.86740331486,341283.57923497265,346238.3814713897,350279.972899729,348785.2493297587,354283.25,354870.37566137564,353897.1884816754
